V1,V2,V3,weight
OTU2,Min.sch,10,0.082644628
OTU2,Pen.duf,1,0.076923077
OTU2,Nyb.sch,2,0.039215686
OTU3,Min.sch,24,0.140350877
OTU3,Myo.bec,3,0.04109589
OTU3,Myo.bly,3,0.029411765
OTU3,Myo.dau,14,0.11965812
OTU3,Myo.myo,10,0.11627907
OTU3,Myo.nat,3,0.046875
OTU3,Rhi.fer,3,0.038461538
OTU3,Nyb.sch,14,0.138613861
OTU3,Pen.con,3,0.031914894
OTU3,Bas.nan,4,0.057971014
OTU3,Ixo.ari,1,0.015625
OTU3,Nyb.kol,24,0.198347107
OTU3,Pen.duf,1,0.015873016
OTU3,Bas.nat,3,0.046875
OTU4,Rhi.eur,10,0.227272727
OTU4,Rhi.fer,3,0.09375
OTU4,Rhi.meh,1,0.052631579
OTU4,Pht.bia,5,0.172413793
OTU5,Rhi.meh,2,0.285714286
OTU5,Pht.bia,2,0.117647059
OTU11,Myo.bly,2,0.038461538
OTU11,Rhi.bla,1,0.076923077
OTU11,Rhi.eur,2,0.05
OTU11,Rhi.fer,4,0.142857143
OTU11,Rhi.meh,1,0.066666667
OTU11,Pht.bia,3,0.12
OTU16,Min.sch,1,0.007352941
OTU16,Rhi.bla,2,0.071428571
OTU16,Rhi.eur,17,0.309090909
OTU16,Rhi.fer,4,0.093023256
OTU16,Rhi.meh,1,0.033333333
OTU16,Pht.bia,4,0.1
OTU19,Ept.ser,2,0.015384615
OTU19,Min.sch,1,0.004310345
OTU19,Myo.bec,5,0.037313433
OTU19,Myo.bly,22,0.134969325
OTU19,Myo.das,49,0.243781095
OTU19,Myo.dau,18,0.101123596
OTU19,Myo.ema,6,0.043165468
OTU19,Myo.myo,7,0.047619048
OTU19,Nyc.noc,1,0.008064516
OTU19,Pip.nat,2,0.013888889
OTU19,Pip.pip,3,0.024
OTU19,Ple.aur,5,0.03968254
OTU19,Pen.con,1,0.006451613
OTU19,Ixo.ari,3,0.024
OTU19,Spi.and,22,0.151724138
OTU19,Pen.duf,1,0.008064516
OTU19,Cim.pip,46,0.237113402
OTU19,Mac.sp4,1,0.008
OTU19,Nyb.kol,2,0.010989011
OTU19,Spi.myo,5,0.03968254
OTU19,Spi.ple,5,0.03968254
OTU19,Arg.ves,3,0.02173913
OTU20,Myo.bly,1,0.018867925
OTU20,Myo.ema,8,0.275862069
OTU20,Min.sch,2,0.016393443
OTU20,Pen.con,1,0.022222222
OTU21,Myo.das,1,0.012195122
OTU21,Pip.nat,1,0.04
OTU21,Cim.pip,1,0.013333333
OTU21,Spi.and,1,0.038461538
EsSk,Ept.ser,1,0.1
EsSk,Spi.kol,1,0.333333333
OTU22,Myo.dau,6,0.09375
OTU22,Min.sch,1,0.008474576
OTU22,Nyb.kol,6,0.088235294
OTU24,Min.sch,3,0.02189781
OTU24,Myo.bec,3,0.076923077
OTU24,Myo.bly,7,0.102941176
OTU24,Myo.dau,6,0.072289157
OTU24,Myo.myo,6,0.115384615
OTU24,Myo.nat,1,0.033333333
OTU24,Nyb.kol,16,0.183908046
OTU24,Bas.nan,3,0.085714286
OTU24,Bas.nat,1,0.033333333
OTU25,Rhi.fer,3,0.136363636
OTU25,Myo.ema,1,0.045454545
OTU26,Ept.nil,1,0.016949153
OTU26,Ept.ser,4,0.059701493
OTU26,Myo.bly,1,0.01
OTU26,Myo.das,24,0.173913043
OTU26,Myo.dau,3,0.026086957
OTU26,Myo.ema,2,0.026315789
OTU26,Myo.mys,1,0.016949153
OTU26,Nyc.noc,1,0.016393443
OTU26,Pip.nat,20,0.24691358
OTU26,Pip.pip,1,0.016129032
OTU26,Isc.var,10,0.144927536
OTU26,Spi.kol,1,0.016666667
OTU26,Cim.pip,21,0.160305344
OTU26,Mac.sp4,2,0.032258065
OTU26,Spi.and,1,0.012195122
OTU26,Spi.sp2,1,0.016949153
OTU26,Arg.ves,14,0.186666667
OTU27,Nyc.noc,1,0.25
OTU31,Min.sch,21,0.147887324
OTU31,Myo.bly,2,0.02739726
OTU31,Myo.cap,1,0.03125
OTU31,Myo.dau,3,0.034090909
OTU31,Myo.myo,2,0.035087719
OTU31,Pip.pyg,1,0.03030303
OTU31,Rhi.fer,1,0.020408163
OTU31,Nyb.sch,2,0.027777778
OTU31,Pen.con,20,0.307692308
OTU31,Pht.bia,1,0.02173913
OTU31,Nyb.kol,7,0.076086957
OTU32,Myo.bec,2,0.1
OTU32,Myo.dau,5,0.078125
OTU32,Nyb.kol,5,0.073529412
OTU32,Bas.nan,2,0.125
OTU33,Myo.das,6,0.068181818
OTU33,Ept.ser,1,0.058823529
OTU33,Myo.ema,1,0.038461538
OTU33,Isc.var,1,0.052631579
OTU33,Cim.pip,5,0.061728395
OTU33,Mac.sp4,1,0.083333333
OTU42,Myo.bly,2,0.044444444
OTU42,Myo.myo,1,0.034482759
OTU42,Nyb.kol,1,0.015625
