id1,id2,weight,community,color
30,54,0.02189781,none,#bebebe90
30,40,0.076923077,VespA,#1b9e7790
30,41,0.102941176,none,#bebebe90
30,43,0.072289157,VespA,#1b9e7790
30,44,0.115384615,none,#bebebe90
30,46,0.033333333,VespA,#1b9e7790
30,8,0.183908046,VespA,#1b9e7790
30,2,0.085714286,VespA,#1b9e7790
30,3,0.033333333,VespA,#1b9e7790
31,53,0.136363636,Rhi,#7570b390
31,55,0.045454545,none,#bebebe90
32,38,0.016949153,none,#bebebe90
32,39,0.059701493,none,#bebebe90
32,41,0.01,none,#bebebe90
32,42,0.173913043,VespB,#d95f0290
32,43,0.026086957,none,#bebebe90
32,55,0.026315789,none,#bebebe90
32,45,0.016949153,VespB,#d95f0290
32,47,0.016393443,VespB,#d95f0290
32,48,0.24691358,VespB,#d95f0290
32,49,0.016129032,VespB,#d95f0290
32,5,0.144927536,VespB,#d95f0290
32,15,0.016666667,none,#bebebe90
32,4,0.160305344,VespB,#d95f0290
32,7,0.032258065,VespB,#d95f0290
32,14,0.012195122,VespB,#d95f0290
32,13,0.016949153,VespB,#d95f0290
32,1,0.186666667,VespB,#d95f0290
33,47,0.25,VespB,#d95f0290
34,54,0.147887324,Min/Myo,#e7298a90
34,41,0.02739726,Min/Myo,#e7298a90
34,56,0.03125,Min/Myo,#e7298a90
34,43,0.034090909,none,#bebebe90
34,44,0.035087719,Min/Myo,#e7298a90
34,50,0.03030303,none,#bebebe90
34,53,0.020408163,none,#bebebe90
34,9,0.027777778,Min/Myo,#e7298a90
34,10,0.307692308,Min/Myo,#e7298a90
34,12,0.02173913,none,#bebebe90
34,8,0.076086957,none,#bebebe90
35,40,0.1,VespA,#1b9e7790
35,43,0.078125,VespA,#1b9e7790
35,8,0.073529412,VespA,#1b9e7790
35,2,0.125,VespA,#1b9e7790
36,42,0.068181818,VespB,#d95f0290
36,39,0.058823529,none,#bebebe90
36,55,0.038461538,none,#bebebe90
36,5,0.052631579,VespB,#d95f0290
36,4,0.061728395,VespB,#d95f0290
36,7,0.083333333,VespB,#d95f0290
37,41,0.044444444,Min/Myo,#e7298a90
37,44,0.034482759,Min/Myo,#e7298a90
37,8,0.015625,none,#bebebe90
